timestamp,app_version,participant_id,global_trial_index,sequence_trial_index,trial_id,sequence,criterion,regime,pair_description,pc_factor,gs_factor,pc_size_mb,gs_size_mb,pc_primitive_count,gs_primitive_count,left_method,right_method,left_video,right_video,video_a_name,video_b_name,choice_raw,choice_compact,selected_name,chosen_method,preference_3dgs,artifact_tags,time_used_seconds
2026-07-23T18:12:06.212261,pilot,20260722_204900_1,15,3,trial_25_OverallBall_take1_frame00492_same_NoP_32x,OverallBall_take1_frame00492,same primitive count,same_NoP,OverallBall_take1_frame00492 same_NoP: PC 32x vs 3DGS 32x,32x,32x,2.139,18.694,83053,83053,3DGS,PC,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_32x_3dgs_10s.mp4,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_32x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_NoP_32x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_NoP_32x_pointcloud_10s.mp4,Video A is better,A,OverallBall_take1_frame00492_same_NoP_32x_3dgs_10s.mp4,3DGS,1,,211.67
2026-07-23T18:12:23.682983,pilot,20260722_204900_1,16,2,trial_15_TicTacToe_take2_frame00586_same_NoP_original,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC original vs 3DGS original,original,original,101.232,884.843,3931455,3931455,PC,3DGS,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_NoP_original_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_original_3dgs_10s.mp4,Video A is better,A,TicTacToe_take2_frame00586_same_NoP_original_pointcloud_10s.mp4,PC,0,,15.33
2026-07-23T18:28:44.058737,pilot,20260722_204900_1,17,4,trial_32_NelliSport2_frame00589_same_NoP_32x,NelliSport2_frame00589,same primitive count,same_NoP,NelliSport2_frame00589 same_NoP: PC 32x vs 3DGS 32x,32x,32x,1.676,14.647,65073,65073,3DGS,PC,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_32x_3dgs_10s.mp4,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_32x_pointcloud_10s.mp4,NelliSport2_frame00589_same_NoP_32x_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_32x_pointcloud_10s.mp4,Video A is better,A,NelliSport2_frame00589_same_NoP_32x_3dgs_10s.mp4,3DGS,1,,978.6
2026-07-23T18:31:13.151793,pilot,20260722_204900_1,18,4,trial_28_OverallBall_take1_frame00492_same_file_size_256x,OverallBall_take1_frame00492,same file size,same_file_size,OverallBall_take1_frame00492 same_file_size: PC 256x vs 3DGS 256x,256x,256x,0.031,0.269,1188,1188,3DGS,PC,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_file_size_256x_3dgs_10s.mp4,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_file_size_256x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_file_size_256x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_file_size_256x_pointcloud_10s.mp4,Video A is better,A,OverallBall_take1_frame00492_same_file_size_256x_3dgs_10s.mp4,3DGS,1,,146.13
2026-07-23T18:35:29.915349,pilot,20260722_204900_1,19,5,trial_22_OverallBall_take1_frame00492_same_NoP_original,OverallBall_take1_frame00492,same primitive count,same_NoP,OverallBall_take1_frame00492 same_NoP: PC original vs 3DGS original,original,original,68.434,598.166,2657715,2657715,3DGS,PC,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_original_3dgs_10s.mp4,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_original_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_NoP_original_3dgs_10s.mp4,OverallBall_take1_frame00492_same_NoP_original_pointcloud_10s.mp4,Video B is better,B,OverallBall_take1_frame00492_same_NoP_original_pointcloud_10s.mp4,PC,0,,250.01
2026-07-23T18:35:46.305193,pilot,20260722_204900_1,20,5,trial_04_BouncingBlue_frame00518_same_NoP_32x,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC 32x vs 3DGS 32x,32x,32x,2.18,19.053,84648,84648,PC,3DGS,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_3dgs_10s.mp4,BouncingBlue_frame00518_same_NoP_32x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_32x_3dgs_10s.mp4,Video B is better,B,BouncingBlue_frame00518_same_NoP_32x_3dgs_10s.mp4,3DGS,1,,15.12
2026-07-23T18:37:19.810518,pilot,20260722_204900_1,21,6,trial_26_OverallBall_take1_frame00492_same_file_size_32x,OverallBall_take1_frame00492,same file size,same_file_size,OverallBall_take1_frame00492 same_file_size: PC 32x vs 3DGS 32x,32x,32x,0.245,2.14,9502,9502,3DGS,PC,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_file_size_32x_3dgs_10s.mp4,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_file_size_32x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_file_size_32x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_file_size_32x_pointcloud_10s.mp4,Video A is better,A,OverallBall_take1_frame00492_same_file_size_32x_3dgs_10s.mp4,3DGS,1,,92.38
2026-07-23T18:39:04.055245,pilot,20260722_204900_1,22,3,trial_17_TicTacToe_take2_frame00586_same_file_size_4x,TicTacToe_take2_frame00586,same file size,same_file_size,TicTacToe_take2_frame00586 same_file_size: PC 4x vs 3DGS 4x,4x,4x,2.896,25.309,112446,112446,PC,3DGS,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_file_size_4x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,Video B is better,B,TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,3DGS,1,,102.99
2026-07-23T18:59:54.642617,pilot,20260722_204900_1,23,4,trial_21_TicTacToe_take2_frame00586_same_file_size_256x,TicTacToe_take2_frame00586,same file size,same_file_size,TicTacToe_take2_frame00586 same_file_size: PC 256x vs 3DGS 256x,256x,256x,0.045,0.397,1757,1757,3DGS,PC,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_256x_3dgs_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_256x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_file_size_256x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_file_size_256x_pointcloud_10s.mp4,Video A is better,A,TicTacToe_take2_frame00586_same_file_size_256x_3dgs_10s.mp4,3DGS,1,,1248.37
2026-07-23T19:07:38.464876,pilot,20260722_204900_1,24,5,trial_19_TicTacToe_take2_frame00586_same_file_size_32x,TicTacToe_take2_frame00586,same file size,same_file_size,TicTacToe_take2_frame00586 same_file_size: PC 32x vs 3DGS 32x,32x,32x,0.362,3.165,14056,14056,3DGS,PC,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_file_size_32x_pointcloud_10s.mp4,Video A is better,A,TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,3DGS,1,,462.11
